site_id,date,soil_moisture_0_to_7cm_mean,soil_moisture_7_to_28cm_mean,soil_moisture_28_to_100cm_mean,soil_moisture_100_to_255cm_mean
ningxia_irrigation,1982-01-23,0.184,0.161,0.138,0.141
ningxia_irrigation,1982-01-24,0.184,0.161,0.138,0.141
ningxia_irrigation,1982-01-25,0.184,0.162,0.138,0.141
ningxia_irrigation,1982-01-26,0.184,0.162,0.138,0.141
ningxia_irrigation,1982-01-27,0.184,0.162,0.138,0.141
ningxia_irrigation,1982-01-28,0.184,0.162,0.138,0.141
ningxia_irrigation,1982-01-29,0.186,0.162,0.138,0.141
ningxia_irrigation,1982-01-30,0.189,0.162,0.138,0.141
ningxia_irrigation,1982-01-31,0.191,0.162,0.138,0.141
ningxia_irrigation,1982-02-01,0.193,0.162,0.138,0.141
ningxia_irrigation,1982-02-02,0.194,0.162,0.138,0.141
ningxia_irrigation,1982-02-03,0.194,0.162,0.138,0.141
ningxia_irrigation,1982-02-04,0.194,0.162,0.138,0.141
ningxia_irrigation,1982-02-05,0.195,0.162,0.138,0.141
ningxia_irrigation,1982-02-06,0.196,0.162,0.138,0.141
ningxia_irrigation,1982-02-07,0.2,0.162,0.138,0.141
ningxia_irrigation,1982-02-08,0.206,0.163,0.138,0.141
ningxia_irrigation,1982-02-09,0.212,0.163,0.138,0.141
ningxia_irrigation,1982-02-10,0.218,0.163,0.138,0.141
ningxia_irrigation,1982-02-11,0.223,0.164,0.138,0.141
ningxia_irrigation,1982-02-12,0.227,0.164,0.138,0.141
ningxia_irrigation,1982-02-13,0.229,0.165,0.138,0.141
ningxia_irrigation,1982-02-14,0.23,0.165,0.138,0.141
