policy,site_id,year,total_yield_t_ha,total_irrigation_mm,action_modified_rate,undiscounted_return,discounted_return,wheat_yield,wheat_irr,maize_yield,maize_irr,spring_maize_yield,spring_maize_irr,seed
ppo_residual,ningxia_irrigation,2020,8.774297115493559,420.0,0.18181818181818182,-5.348739241061382,-4.892400640187026,,,,,8.774297115493559,420.0,0
ppo_residual,ningxia_irrigation,2021,0.0,25.0,0.022727272727272728,-0.4059144027337689,-0.39839874347796134,,,,,0.0,25.0,0
ppo_residual,ningxia_irrigation,2022,10.119003952059217,315.0,0.22727272727272727,-4.194070278579814,-3.916937636059626,,,,,10.119003952059217,315.0,0
ppo_residual,beijing_plain,2018,10.01506016121993,170.0,0.12173913043478261,-2.059226363085618,-1.478031015242464,2.7594677372159335,40.0,7.255592424003996,130.0,,,1
ppo_residual,beijing_plain,2019,8.255762178722184,420.0,0.09734513274336283,-5.233591960189513,-4.21295353272076,1.4286702990056719,395.0,6.827091879716513,25.0,,,1
ppo_residual,beijing_plain,2020,6.552213894118591,110.0,0.061946902654867256,-1.6935585385249807,-1.2875252893741722,0.8526928386716722,70.0,5.699521055446919,40.0,,,1
ppo_residual,beijing_plain,2021,9.939659789182842,85.0,0.1504424778761062,-1.1819828023374481,-0.9613311375192726,1.0240022800680753,85.0,8.915657509114768,0.0,,,1
ppo_residual,beijing_plain,2022,10.969418266779986,130.0,0.0782608695652174,-1.4863179655116596,-1.171874854740998,2.993105486939329,90.0,7.976312779840656,40.0,,,1
ppo_residual,hebei_central,2018,9.384503754675013,170.0,0.10434782608695652,-2.0792323291005457,-1.4089449002499153,4.113008046582426,10.0,5.271495708092586,160.0,,,1
ppo_residual,hebei_central,2019,12.19443089399396,420.0,0.12280701754385964,-5.0670210290424915,-4.197024046015587,3.215838229018929,415.0,8.978592664975032,5.0,,,1
ppo_residual,hebei_central,2020,12.062646659688715,170.0,0.11403508771929824,-2.0598767890628102,-1.6110503488533567,4.163913594592983,110.0,7.898733065095732,60.0,,,1
ppo_residual,hebei_central,2021,12.103005353011095,140.0,0.125,-1.7518831594526914,-1.4172829379655911,4.0151319180374925,140.0,8.087873434973604,0.0,,,1
ppo_residual,hebei_central,2022,11.948953539529708,145.0,0.07894736842105263,-1.5213776129777643,-1.2038332883121108,4.4660080774074595,85.0,7.482945462122248,60.0,,,1
ppo_residual,henan_north,2018,14.961746017008888,50.0,0.10619469026548672,-0.1433393921234385,-0.26832564117233443,5.921719022274591,40.0,9.040026994734298,10.0,,,1
ppo_residual,henan_north,2019,9.307084867560379,235.0,0.10526315789473684,-3.1093171939410786,-2.526093941826,2.0375169695229385,235.0,7.26956789803744,0.0,,,1
